,Chromosome,Left,Right,IMI,Crossover
0,Chr01,5016.0,5299.0,282,0
1,Chr01,5299.0,5464.0,164,0
2,Chr01,5464.0,6120.0,655,0
3,Chr01,6120.0,6166.0,45,0
4,Chr01,6166.0,6477.0,310,0
5,Chr01,6477.0,6903.0,425,0
6,Chr01,6903.0,7291.0,387,0
7,Chr01,7291.0,7340.0,48,0
8,Chr01,7340.0,7776.0,435,0
9,Chr01,7776.0,7808.0,31,0
10,Chr01,7808.0,8334.0,525,0
11,Chr01,8334.0,8408.0,73,0
12,Chr01,8408.0,8564.0,155,0
13,Chr01,8564.0,8757.0,192,0
14,Chr01,8757.0,8988.0,230,0
15,Chr01,8988.0,9070.0,81,0
16,Chr01,9070.0,10604.0,1533,0
17,Chr01,10604.0,12264.0,1659,0
18,Chr01,12264.0,12277.0,12,0
19,Chr01,12277.0,12372.0,94,0
20,Chr01,12372.0,12407.0,34,0
21,Chr01,12407.0,13273.0,865,0
22,Chr01,13273.0,13464.0,190,0
23,Chr01,13464.0,13640.0,175,0
24,Chr01,13640.0,14061.0,420,0
25,Chr01,14061.0,14486.0,424,0
26,Chr01,14486.0,14579.0,92,0
27,Chr01,14579.0,14593.0,13,0
28,Chr01,14593.0,14813.0,219,0
29,Chr01,14813.0,14870.0,56,0
30,Chr01,14870.0,15149.0,278,0
31,Chr01,15149.0,15169.0,19,0
32,Chr01,15169.0,15192.0,22,0
33,Chr01,15192.0,15312.0,119,0
34,Chr01,15312.0,15348.0,35,0
35,Chr01,15348.0,15504.0,155,0
36,Chr01,15504.0,15541.0,36,0
37,Chr01,15541.0,15614.0,72,0
38,Chr01,15614.0,15639.0,24,0
39,Chr01,15639.0,15674.0,34,0
40,Chr01,15674.0,15921.0,246,0
41,Chr01,15921.0,15939.0,17,0
42,Chr01,15939.0,16016.0,76,0
43,Chr01,16016.0,16706.0,689,0
44,Chr01,16706.0,16724.0,17,0
45,Chr01,16724.0,17319.0,594,0
46,Chr01,17319.0,17450.0,130,0
47,Chr01,17450.0,18346.0,895,0
48,Chr01,18346.0,18686.0,339,0
49,Chr01,18686.0,19610.0,923,0
50,Chr01,19610.0,20263.0,652,0
51,Chr01,20263.0,20275.0,11,0
52,Chr01,20275.0,20401.0,125,0
53,Chr01,20401.0,20464.0,62,0
54,Chr01,20464.0,20626.0,161,0
55,Chr01,20626.0,20841.0,214,0
56,Chr01,20841.0,20989.0,147,0
57,Chr01,20989.0,21208.0,218,0
58,Chr01,21208.0,21242.0,33,0
59,Chr01,21242.0,21371.0,128,0
60,Chr01,21371.0,21535.0,163,0
61,Chr01,21535.0,22116.0,580,0
62,Chr01,22116.0,22152.0,35,0
63,Chr01,22152.0,22746.0,593,0
64,Chr01,22746.0,22781.0,34,0
65,Chr01,22781.0,23103.0,321,0
66,Chr01,23103.0,24360.0,1256,0
67,Chr01,24360.0,24397.0,36,0
68,Chr01,24397.0,24406.0,8,0
69,Chr01,24406.0,24562.0,155,0
70,Chr01,24562.0,24576.0,13,0
71,Chr01,24576.0,24611.0,34,0
72,Chr01,24611.0,24643.0,31,0
73,Chr01,24643.0,24783.0,139,0
74,Chr01,24783.0,24792.0,8,0
75,Chr01,24792.0,24913.0,120,0
76,Chr01,24913.0,24933.0,19,0
77,Chr01,24933.0,24963.0,29,0
78,Chr01,24963.0,24980.0,16,0
79,Chr01,24980.0,24986.0,5,0
80,Chr01,24986.0,24996.0,9,0
81,Chr01,24996.0,25047.0,50,0
82,Chr01,25047.0,25077.0,29,0
83,Chr01,25077.0,25178.0,100,0
84,Chr01,25178.0,25189.0,10,0
